length,predicted_acc,predicted_mean_lat,config
1,0.3561,1.66,0.6nt
1,0.5163,7.02,0.6t
1,0.6659,2.53,1.7nt
1,0.8455,15.31,1.7t
1,0.778,3.37,4nt
1,0.937,29.44,4t
1,0.8211,5.53,8nt
1,0.9309,54.37,8t
1,0.9012,9.63,14nt
1,0.9675,83.05,14t
2,0.563593346805534,8.305048,0.6nt->0.6t
2,0.6873031708840986,3.791309,0.6nt->1.7nt
2,0.840604153893317,12.786591999999999,0.6nt->1.7t
2,0.9062858917197452,8.240658,0.6nt->14nt
2,0.9488748927038626,64.59478599999998,0.6nt->14t
2,0.7757698107049608,5.046913999999999,0.6nt->4nt
2,0.9351791971370778,27.531901999999995,0.6nt->4t
2,0.8569564569798764,4.538232999999999,0.6nt->8nt
2,0.9376838649447643,41.07955799999999,0.6nt->8t
2,0.5797620746207461,7.348916,0.6t->0.6nt
2,0.7609309330819981,8.780668,0.6t->1.7nt
2,0.8531523818820773,17.022916000000002,0.6t->1.7t
2,0.9238388866799205,11.876348,0.6t->14nt
2,0.9641558615104272,55.723753,0.6t->14t
2,0.8426472826086957,8.238923999999999,0.6t->4nt
2,0.936633600156189,26.745286,0.6t->4t
2,0.86137158,10.908947999999999,0.6t->8nt
2,0.9423093551994037,33.725077,0.6t->8t
2,0.75365,6.154984999999999,1.7nt->0.6t
2,0.853837364568082,10.762223999999998,1.7nt->1.7t
2,0.9150380107526881,6.034708999999999,1.7nt->14nt
2,0.9748899972670129,38.429044999999995,1.7nt->14t
2,0.855559013002364,5.0324089999999995,1.7nt->4nt
2,0.9434001986379115,18.683735,1.7nt->4t
2,0.8897057779115257,4.060178,1.7nt->8nt
2,0.9509670128450396,24.333365999999998,1.7nt->8t
2,0.8484807073954984,15.41815,1.7t->0.6nt
2,0.8854358031674209,15.619,1.7t->1.7nt
2,0.9580900500277932,16.97551,1.7t->14nt
2,0.9670233870967742,35.198784999999994,1.7t->14t
2,0.9040134194831014,17.020315,1.7t->4nt
2,0.9322617951668585,15.992890000000001,1.7t->8nt
2,0.9435611987381703,26.559145,1.7t->8t
2,0.9124967197750703,10.887724,14nt->0.6t
2,0.9277377049180328,13.456524,14nt->1.7t
2,0.9780444444444445,23.480772,14nt->14t
2,0.9647142857142856,18.206828,14nt->4t
2,0.960461480787254,18.054676,14nt->8t
2,0.8154412265758092,5.663259999999999,4nt->0.6t
2,0.889053545586107,11.450799999999997,4nt->1.7t
2,0.9342715935334873,5.701,4nt->14nt
2,0.9841874414245548,26.98858,4nt->14t
2,0.9509293015332198,14.98282,4nt->4t
2,0.9021186685962373,4.32904,4nt->8nt
2,0.947739507959479,19.920099999999998,4nt->8t
2,0.845789819004525,8.23139,8nt->0.6t
2,0.9075143665158372,10.943513999999999,8nt->1.7t
2,0.9242235686492496,7.463908999999999,8nt->14nt
2,0.9876550904977376,31.728115999999993,8nt->14t
2,0.9628029702970298,16.711249999999996,8nt->4t
2,0.9544545858810451,23.371696999999998,8nt->8t
3,0.6208504722759026,8.601804524172236,0.6nt->0.6t->0.6nt
3,0.7843057031713685,9.893568217627855,0.6nt->0.6t->1.7nt
3,0.867510280023937,17.329937588061554,0.6nt->0.6t->1.7t
3,0.9312854732942312,12.686570798072438,0.6nt->0.6t->14nt
3,0.9676604909760731,52.246833910150784,0.6nt->0.6t->14t
3,0.8580323076952785,9.404792766050054,0.6nt->0.6t->4nt
3,0.9428291947884642,26.101711317270325,0.6nt->0.6t->4t
3,0.874925853194466,11.813757491683505,0.6nt->0.6t->8nt
3,0.9479500078187741,32.39905932286647,0.6nt->0.6t->8t
3,0.7694317154962517,7.184069595907529,0.6nt->1.7nt->0.6t
3,0.8632008601173772,11.496158869415808,0.6nt->1.7nt->1.7t
3,0.9204808601226766,7.071498737425804,0.6nt->1.7nt->14nt
3,0.9764985985223085,37.390583288503585,0.6nt->1.7nt->14t
3,0.8648122160175639,6.1334082500781,0.6nt->1.7nt->4nt
3,0.9470261047156091,18.910200687753825,0.6nt->1.7nt->4t
3,0.8967714650797038,5.2234604773508275,0.6nt->1.7nt->8nt
3,0.9541081723871989,24.197904068103718,0.6nt->1.7nt->8t
3,0.8436793149114523,12.898169092274676,0.6nt->1.7t->0.6nt
3,0.8818054557432911,13.105383692213366,0.6nt->1.7t->1.7nt
3,0.9567619939410443,14.504879221030041,0.6nt->1.7t->14nt
3,0.9659784134922832,33.3056192693133,0.6nt->1.7t->14t
3,0.9009717655897844,14.551104016400979,0.6nt->1.7t->4nt
3,0.9301152849635832,13.491121639791537,0.6nt->1.7t->8nt
3,0.94177274769983,24.392203555027585,0.6nt->1.7t->8t
3,0.9170010943534762,9.433638598407644,0.6nt->14nt->0.6t
3,0.9314575248391579,11.870205413694267,0.6nt->14nt->1.7t
3,0.9791746426043878,21.378438839808915,0.6nt->14nt->14t
3,0.9665306756141946,16.37597973980892,0.6nt->14nt->4t
3,0.9624967907819411,16.231660013057326,0.6nt->14nt->8t
3,0.8135871680136642,7.363211855417754,0.6nt->4nt->0.6t
3,0.8879389888520691,13.208892890339426,0.6nt->4nt->1.7t
3,0.9336112926844711,7.401330987597911,0.6nt->4nt->14nt
3,0.9840285900783289,28.902763839099215,0.6nt->4nt->14t
3,0.9504363423151084,16.7763952020235,0.6nt->4nt->4t
3,0.9011353627517289,6.015588417754569,0.6nt->4nt->8nt
3,0.9472145044013607,21.76327461194517,0.6nt->4nt->8t
3,0.876697760428355,6.698190499603864,0.6nt->8nt->0.6t
3,0.9260510190495514,8.866730611788938,0.6nt->8nt->1.7t
3,0.9394112396990917,6.084533700047535,0.6nt->8nt->14nt
3,0.9901293482757607,25.485529439866887,0.6nt->8nt->14t
3,0.9702582732334397,13.47845443875772,0.6nt->8nt->4t
3,0.9635831335724199,18.80396554539692,0.6nt->8nt->8t
3,0.7151815086812456,11.6857713899139,0.6t->0.6nt->0.6t
3,0.7959200702898936,8.73990353300533,0.6t->0.6nt->1.7nt
3,0.8959711450816225,14.610627350553507,0.6t->0.6nt->1.7t
3,0.9388379834718729,11.643747597375974,0.6t->0.6nt->14nt
3,0.9666334694441365,48.42297082656827,0.6t->0.6nt->14t
3,0.853657354314731,9.559367487494875,0.6t->0.6nt->4nt
3,0.9576950462548035,24.234075841738417,0.6t->0.6nt->4t
3,0.906643389101297,9.227379526445265,0.6t->0.6nt->8nt
3,0.9593297044366118,33.07588179171792,0.6t->0.6nt->8t
3,0.8237214467666873,11.374567376060321,0.6t->1.7nt->0.6t
3,0.8954116585723295,14.671329808859568,0.6t->1.7nt->1.7t
3,0.9392044792192393,11.28850251196984,0.6t->1.7nt->14nt
3,0.9820322510515304,34.46863924033931,0.6t->1.7nt->14t
3,0.8966436037526486,10.571295311215835,0.6t->1.7nt->4nt
3,0.9594993663592375,20.339657385485392,0.6t->1.7nt->4t
3,0.9210777109813276,9.87560432648445,0.6t->1.7nt->8nt
3,0.9649138865988065,24.382315307068804,0.6t->1.7nt->8t
3,0.8559854549004295,17.125709332682547,0.6t->1.7t->0.6nt
