setup,num_turns,count,accuracy,pass_turn1_ratio,pass_turn2_ratio,pass_turn3_ratio,pass_turn4_ratio,fail_ratio,mean_latency,p50_latency,p90_latency,mean_llm_latency_turn1,mean_llm_latency_turn2,mean_llm_latency_turn3,mean_llm_latency_turn4,mean_e2e_pass_turn1,mean_e2e_pass_turn2,mean_e2e_pass_turn3,mean_e2e_pass_turn4,mean_e2e_fail
one-turn-0.6b-nothink,1,820,0.3561,0.3561,,,,0.6438999999999999,1.66,0.77,1.13,1.31,,,,0.96,,,,2.05
one-turn-0.6b-think,1,492,0.5163,0.5163,,,,0.4837,7.02,3.55,16.55,6.95,,,,4.25,,,,9.97
one-turn-1.7b-nothink,1,820,0.6659,0.6659,,,,0.33409999999999995,2.53,2.05,2.95,2.45,,,,2.49,,,,2.6
one-turn-1.7b-think,1,492,0.8455,0.8455,,,,0.15449999999999997,15.31,8.96,34.15,15.11,,,,11.52,,,,36.09
one-turn-4b-nothink,1,820,0.778,0.778,,,,0.22199999999999998,3.37,2.5,4.0,3.3,,,,2.59,,,,6.12
one-turn-4b-think,1,492,0.937,0.937,,,,0.06299999999999994,29.44,18.62,50.37,29.36,,,,23.33,,,,120.3
one-turn-8b-nothink,1,492,0.8211,0.8211,,,,0.17889999999999995,5.53,3.93,6.5,5.43,,,,4.22,,,,11.53
one-turn-8b-think,1,820,0.939,0.939,,,,0.061000000000000054,50.03,35.1,88.8,48.54,,,,45.36,,,,121.95
one-turn-14b-nothink,1,820,0.9012,0.9012,,,,0.0988,9.63,9.13,14.37,9.52,,,,9.44,,,,11.36
one-turn-14b-think,1,492,0.9675,0.9675,,,,0.03249999999999997,83.05,63.04,158.42,82.98,,,,79.35,,,,193.12
two-turn-nc-0.6nt-0.6t,2,328,0.564,0.3567,0.2073,,,0.436,9.1,3.45,18.6,1.94,10.32,,,0.74,5.32,,,17.75
two-turn-nc-0.6nt-1.7nt,2,328,0.689,0.3598,0.3293,,,0.311,3.17,2.21,3.63,0.76,3.31,,,0.74,6.01,,,2.97
two-turn-nc-0.6nt-1.7t,2,328,0.8384,0.3476,0.4909,,,0.1616,13.93,7.11,36.04,2.55,17.28,,,0.75,16.51,,,34.43
two-turn-nc-0.6nt-14nt,2,328,0.9085,0.372,0.5366,,,0.0915,7.8,8.62,15.59,1.14,10.22,,,1.15,11.61,,,12.44
two-turn-nc-0.6nt-14t,2,328,0.9482,0.3476,0.6006,,,0.0518,65.15,47.03,137.61,1.21,97.74,,,1.2,86.71,,,244.28
two-turn-nc-0.6nt-4nt,2,328,0.7866,0.3872,0.3994,,,0.2134,4.72,2.85,5.01,1.15,5.26,,,1.15,3.81,,,12.88
two-turn-nc-0.6nt-4t,2,820,0.9354,0.3573,0.578,,,0.0646,27.45,14.59,51.61,1.24,40.18,,,0.73,27.98,,,170.36
two-turn-nc-0.6nt-8nt,2,328,0.8598,0.3689,0.4909,,,0.1402,4.35,4.43,7.89,1.14,4.47,,,1.11,6.32,,,6.03
two-turn-nc-0.6nt-8t,2,820,0.9378,0.3573,0.5805,,,0.0622,43.48,27.26,89.69,1.03,61.22,,,0.76,55.81,,,173.85
two-turn-nc-0.6t-0.6nt,2,328,0.5762,0.5122,0.064,,,0.4238,9.1,5.29,19.27,8.61,0.68,,,5.89,9.33,,,12.93
two-turn-nc-0.6t-1.7nt,2,328,0.7378,0.4695,0.2683,,,0.2622,11.19,6.04,23.53,8.9,3.64,,,5.72,13.86,,,18.24
